"year","month","mo_yr","cmip_projection","weighted_mean_pr_mm","stdev_pr_mm","weighted_mean_tasmin_degC","stdev_tasmin_degC","weighted_mean_tasmax_degC","stdev_tasmax_degC"
"1950","01","01-1950","hadgem2-es.1.rcp45",2.22186923027039,0.0656882524490356,-19.112829208374,0.100975945591927,-6.66221189498901,0.0825183838605881
"1950","02","02-1950","hadgem2-es.1.rcp45",4.70290994644165,0.0763494893908501,-13.6593933105469,0.0860250443220139,-2.52979683876038,0.0754606202244759
"1950","03","03-1950","hadgem2-es.1.rcp45",3.60097002983093,0.0892152339220047,-6.35645151138306,0.0740460976958275,3.53490853309631,0.0763797834515572
"1950","04","04-1950","hadgem2-es.1.rcp45",3.00905680656433,0.0675533562898636,1.25237417221069,0.0748723298311234,12.2459087371826,0.117873974144459
"1950","05","05-1950","hadgem2-es.1.rcp45",4.82838678359985,0.137015536427498,4.285973072052,0.0779516398906708,14.1932439804077,0.198093801736832
"1950","06","06-1950","hadgem2-es.1.rcp45",5.66500663757324,0.0418047308921814,10.4729290008545,0.0954671278595924,22.9567317962646,0.207913309335709
"1950","07","07-1950","hadgem2-es.1.rcp45",2.78400945663452,0.0361972935497761,12.7450656890869,0.0653435438871384,24.9320297241211,0.201815217733383
"1950","08","08-1950","hadgem2-es.1.rcp45",4.28522157669067,0.0474386215209961,10.9829330444336,0.0638061910867691,22.0487747192383,0.109762795269489
"1950","09","09-1950","hadgem2-es.1.rcp45",1.72118043899536,0.014166041277349,8.36245536804199,0.0864757895469666,20.547607421875,0.0960406810045242
"1950","10","10-1950","hadgem2-es.1.rcp45",3.53596639633179,0.0705995634198189,2.28691220283508,0.102751381695271,12.8456888198853,0.0619740262627602
"1950","11","11-1950","hadgem2-es.1.rcp45",7.70767068862915,0.146156325936317,-2.69207978248596,0.0853865742683411,6.4125018119812,0.101090840995312
"1950","12","12-1950","hadgem2-es.1.rcp45",7.1993579864502,0.23011788725853,-12.0862789154053,0.141301408410072,-1.33148956298828,0.10039097815752
"1951","01","01-1951","hadgem2-es.1.rcp45",3.970947265625,0.119572713971138,-9.18892002105713,0.10921860486269,0.878369271755219,0.0871761739253998
"1951","02","02-1951","hadgem2-es.1.rcp45",6.13352537155151,0.0923678278923035,-6.63419628143311,0.0992596298456192,4.39067029953003,0.0714463293552399
"1951","03","03-1951","hadgem2-es.1.rcp45",2.76745653152466,0.0588682144880295,-2.68036508560181,0.0774858221411705,6.87481737136841,0.0701323673129082
"1951","04","04-1951","hadgem2-es.1.rcp45",4.97557878494263,0.0583231151103973,0.0216526575386524,0.0667838901281357,11.2931756973267,0.0993009433150291
"1951","05","05-1951","hadgem2-es.1.rcp45",3.23236656188965,0.0363603867590427,4.12891006469727,0.0686081424355507,17.2176322937012,0.104496344923973
"1951","06","06-1951","hadgem2-es.1.rcp45",3.93232083320618,0.0335147492587566,10.3946447372437,0.0693691074848175,23.5666580200195,0.170875117182732
"1951","07","07-1951","hadgem2-es.1.rcp45",2.75936675071716,0.0287328511476517,13.6634321212769,0.0630396082997322,26.6357440948486,0.161738455295563
"1951","08","08-1951","hadgem2-es.1.rcp45",3.53833222389221,0.0573445148766041,12.871072769165,0.0686125233769417,25.7061958312988,0.111147202551365
"1951","09","09-1951","hadgem2-es.1.rcp45",3.27809596061707,0.0269328914582729,8.55628204345703,0.0942117273807526,19.699254989624,0.0687884539365768
